xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
126.344	283.113	2.99554	133.497	283.704	3.08211	130.179	283.429	3.06211	0.000160695	12	32.4853	2.82261	1.5693	0.831198	6.02023	1.20759	0.979675	8.56306	1.17611	0.990523	0	0
208.207	282.176	4.36426	209.054	278.211	5.00189	208.56	280.52	4.49843	0.0019307	15	18.8284	2.69628	1.94907	0.690979	2.06483	1.77484	0.511039	4.58342	1.74821	0.924402	0	1
72.3608	277.901	2.80374	77.9409	280.627	2.60549	75.7241	279.552	2.67228	0.00532311	16.5	27.5563	2.785	1.56352	0.827539	4.32467	1.53148	0.935198	7.10523	1.33671	0.982144	0	2
282.487	277.499	0.281366	276.424	279.073	0.375631	280.259	278.074	0.269001	0.000193503	13.5	27.8995	4.51109	1.51424	0.941979	3.15085	1.25879	0.916729	7.21431	1.20028	0.986063	0	3
31.5305	272.849	2.50334	38.134	278.699	2.39571	35.25	276.135	2.41965	0.000596864	35.5	39.6985	4.47603	1.84723	0.910869	5.80578	1.84012	0.948443	10.1732	1.67308	0.986384	0	4
203.508	269.702	0.355192	195.498	272.5	0.42809	200.16	270.86	0.348708	0.000169166	31.5	39.5563	5.60276	1.84396	0.944289	4.34594	1.8064	0.909524	9.93035	1.65145	0.986075	0	5
66.3119	272.571	5.38217	62.7966	268.186	5.34074	64.9333	270.867	5.38855	0.000212482	18	26.9706	3.96247	1.78524	0.892758	2.92994	1.65271	0.825723	6.53195	1.52035	0.972535	0	6
228.302	266.905	2.07435	231.806	271.269	2.21064	230.344	269.438	2.23361	0.000960589	20	26.1421	2.62218	1.86254	0.703894	4.19542	1.7442	0.909484	6.56296	1.60133	0.969776	0	7
121.312	278.719	4.31197	124.592	269.372	4.50364	122.82	274.426	4.37821	0.00271357	39.5	46.3848	5.79833	2.0575	0.934926	5.33274	1.86729	0.936692	11.3762	1.8523	0.986655	0	8
118.076	266.519	0.158677	110.537	267.435	0.229184	114.698	266.93	0.135915	0.000324439	26.5	33.8995	4.9726	1.82694	0.930062	4.16482	1.74962	0.90748	8.79655	1.61486	0.983005	0	9
222.765	261.198	5.53204	218.592	258.1	5.76312	221.111	259.963	5.63173	0.00225374	17	22.1421	3.3868	1.72378	0.860784	2.42064	1.58309	0.756496	5.8729	1.48153	0.967658	0	10
194.068	259.358	1.48193	193.899	265.486	1.49171	193.972	262.861	1.53059	0.000236512	22	26.8284	3.07303	1.84221	0.800392	4.18483	1.83302	0.898968	7.06317	1.57349	0.97487	0	11
1.22268	251.998	3.23717	5.35777	252.079	3.05553	3.54167	252.042	3.11256	0.00234742	14	18.8284	2.06786	1.90063	0.393959	2.86335	1.81531	0.77335	4.72685	1.57363	0.942957	0	12
52.2118	259.756	4.94134	50.1064	250.517	4.99284	51.2807	255.667	4.94236	0.000360652	37	42.9706	6.03472	1.89713	0.9493	5.0232	1.84632	0.93	10.9388	1.69716	0.987891	0	13
64.6122	250.102	3.54332	71.822	247.048	3.57087	68.625	248.4	3.54823	9.99088e-05	23.5	35.5563	4.00315	1.74197	0.900358	4.92793	1.66255	0.941371	9.16119	1.47311	0.986987	0	14
48.3336	242.26	2.50061	54.8614	247.111	2.4459	52.0263	245	2.49114	0.000352481	22.5	36.0416	4.08626	1.56999	0.923245	5.60932	1.53642	0.961757	9.47919	1.35142	0.989785	0	15
250.722	239.748	6.15134	242.502	238.793	6.12264	247.276	239.345	6.16094	8.40808e-05	12	37.799	5.28024	1.38795	0.964835	4.25594	1.34691	0.9486	9.44883	1.11803	0.992975	0	16
13.5268	249.87	4.99791	11.1465	237.666	5.03357	12.5487	244.814	4.93058	0.000217666	72.5	88.5269	6.75044	4.02793	0.802471	8.46335	3.02586	0.933904	14.328	3.61684	0.967615	0	17
195.797	248.577	4.52004	196.507	236.166	4.61154	196.049	244.167	4.63715	0.00224355	71	69.9411	6.18509	3.76756	0.793066	9.50453	2.34419	0.969107	14.0855	3.26423	0.972777	0	18
101.736	240.066	3.95092	113.256	232.215	3.82856	107.795	235.947	3.76207	0.000277496	105.5	110.125	6.95452	4.32888	0.782655	8.25062	4.31977	0.851983	15.8368	4.33186	0.961863	0	19
156.023	226.226	1.16017	153.986	231.969	1.23158	154.741	229.815	1.22564	0.000454504	13.5	29.5563	2.75828	1.42161	0.85695	4.26548	1.68346	0.918822	6.97228	1.39437	0.979798	0	20
126.228	225.76	2.96526	140.02	228.576	2.88553	133.438	227.234	2.93495	0.000732268	37	56.9706	6.51192	1.70313	0.965193	7.67066	1.62894	0.977192	15.7465	1.49979	0.995454	0	21
168.477	227.718	0.672367	158.018	235.352	0.650824	163.641	231.25	0.638953	4.82493e-05	40.5	57.0122	7.65454	1.69722	0.975109	6.89059	1.64762	0.970992	14.7932	1.48561	0.994945	0	22
32.8377	217.171	1.68857	33.1478	222.483	1.65136	33	220.167	1.63294	0.0013678	17.5	25.0711	2.84792	1.7228	0.796276	3.6548	1.55975	0.904361	6.23137	1.50299	0.970476	0	23
109.816	213.261	2.63992	115.655	216.734	2.56057	113.063	215.188	2.60074	0.00381727	18.5	30.3848	3.44849	1.57033	0.890304	4.33771	1.55151	0.933844	7.78278	1.33118	0.985264	0	24
158.837	217.58	4.55742	159.744	211.444	4.56945	159.167	215.333	4.56331	0.000185706	10.5	27.8995	4.51127	1.45608	0.946479	2.77917	1.48264	0.845809	7.1162	1.21276	0.985371	0	25
199.404	224.816	5.16962	193.163	212.121	5.14079	196.415	218.732	5.16683	0.000354442	54.5	62.5269	8.36126	1.91146	0.973518	8.00159	1.85297	0.972817	16.3322	1.70773	0.994518	0	26
55.036	206.032	1.32926	52.5442	212.322	1.20504	53.697	209.424	1.20535	0.000718253	18.5	31.5563	3.43717	1.6001	0.885033	4.31972	1.61765	0.927235	7.81868	1.4225	0.98331	0	27
32.8386	209.851	4.66978	33.2508	204.188	4.55754	32.9677	207.516	4.64962	0.00126995	18	25.6569	3.70178	1.63613	0.897023	2.77582	1.52853	0.834731	6.51516	1.51309	0.972658	0	28
276.643	210.476	5.78588	256.357	202.409	5.86008	267.044	206.659	5.88639	0.000232593	83	124.368	11.5286	3.37938	0.956072	13.0198	2.2593	0.984829	24.9963	2.94423	0.993039	0	29
21.6373	197.902	3.55426	35.4042	195.703	2.98742	29.3592	196.67	3.26011	0.00861812	66.5	79.6985	7.77861	2.06778	0.96402	10.4065	2.99275	0.957755	16.4794	3.55577	0.976444	0	30
59.0937	197.082	4.19212	62.3988	191.976	4.08731	60.4516	195	4.14716	0.000399223	19	26.9706	3.89005	1.65705	0.904737	3.08652	1.55703	0.863435	7.06244	1.39689	0.980244	0	31
140.302	190.701	2.69519	148.991	196.137	2.55306	144.629	193.4	2.58371	0.00314091	16.5	42.0416	4.58051	1.49448	0.945277	6.5523	1.18894	0.983399	11.7054	1.15553	0.995115	0	32
64.6872	180.93	1.0438	61.8376	186.429	1.09253	63.0417	184.125	1.09061	0.000298196	10.5	30.3848	3.07049	1.41182	0.888021	4.27577	1.45436	0.940374	7.20271	1.17678	0.986563	0	33
233.036	180.892	1.5537	232.714	192.31	1.48315	232.864	187.03	1.53342	0.00124697	41.5	49.8995	5.92208	1.80757	0.95228	7.62908	1.82896	0.970838	13.2618	1.62894	0.992428	0	34
128.383	210.673	4.49282	140.624	189.585	3.44829	132.875	202.905	4.18555	0.000641094	287.5	249.321	13.1427	7.76531	0.806786	17.5014	13.6103	0.628672	27.3412	11.4977	0.907281	0	35
244.913	183.994	4.63132	245.637	176.955	4.52785	245.216	181	4.6056	0.000975415	21.5	32.7279	4.15683	1.77878	0.903818	3.85985	1.68876	0.89921	8.09836	1.52897	0.982016	0	36
